# name_prefix; us_data_stock_watson_2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; Stock and Watson 2012: US indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# lag_parameter;4
# number_predictions;100
# horizon;1
# max_attributes;9
# predict;GDP252
# prediction_type;rolling
# method; GFSM_(n_components=8)
"GDP252";"HSBR";"FYFF";"FYGT5";"Sfygt10";"GDP285A";"MSONDQ";"FYBAAC";"Sfygt1"
49.275;1742.66666666667;8.1;8.43333333333333;1.17666666666667;65.425;29.8716666666667;9.5;1.13333333333333
49.675;1798;9.58333333333333;8.84333333333333;0.25;66.555;31.129;9.78666666666667;1.24666666666667
49.935;1557.66666666667;10.0733333333333;9.17666666666667;-0.276666666666667;69.149;34.203;10.1566666666667;0.916666666666667
49.916;1640.33333333333;10.18;9.11333333333333;-0.263333333333333;72.745;31.4266666666667;10.3933333333333;0.56
50.41;1587.66666666667;10.9466666666667;9.12333333333333;-0.57;78.196;31.3563333333333;10.3933333333333;0.48
50.555;1337;13.5766666666667;10.66;-1.39666666666667;83.425;31.558;11.8166666666667;0.426666666666667
50.475;1155.66666666667;15.0466666666667;12.27;-1.36666666666667;90.352;31.6573333333333;13.48;0.58
49.349;929;12.6866666666667;10.3333333333333;0.86;93.632;27.6873333333333;13.3566666666667;0.666666666666667
49.886;1370;9.83666666666667;10.6633333333333;1.8;96.225;28.3346666666667;13.1666666666667;0.983333333333333
50.55;1332.66666666667;15.8533333333333;12.6466666666667;-1.19;97.844;28.313;14.67;0.226666666666667
50.766;1201;16.57;13.1966666666667;-1.43;100.422;28.745;15.2466666666667;-0.27
50.778;1113;17.78;14.19;-1.15666666666667;101;28.196;15.77;0.22
50.979;890.333333333333;17.5766666666667;15.4266666666667;-0.206666666666667;98.365;27.0816666666667;16.4766666666667;1.26666666666667
50.594;758.333333333333;13.5866666666667;14.13;2.33666666666667;98.587;24.435;16.6833333333333;1.79666666666667
50.927;831;14.2266666666667;14.39;1.48;98.272;25.3146666666667;17.0333333333333;1.52
51.107;918;14.5133333333333;14.06;1.51;96.563;22.3446666666667;16.78;1.37666666666667
51.501;1004;11.0066666666667;13.1066666666667;3.8;95.42;21.1823333333333;16.25;2.52333333333333
52.436;1243;9.28666666666667;10.4666666666667;2.76;94.687;21.4536666666667;14.39;1.22333333333333
52.95;1457.33333333333;8.65333333333333;10.1233333333333;2.45666666666667;92.688;20.403;13.8333333333333;0.753333333333333
54.003;1668;8.80333333333333;10.2266666666667;2.14666666666667;92.687;22.2276666666667;13.25;0.783333333333333
